dataset_name,dataset_size,dataset_offset,dataset_file,dataset_fmt,image_width,image_height,model_dir,rnd_seed_search,batch_size_search,perturb_bn,perturb_ratio,search_mode,max_iteration,err_num_search
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0,1,20,0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.001,1,20,17
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.002,1,20,21
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.003,1,20,36
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.005,1,20,75
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.007,1,20,140
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.01,1,20,295
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.02,1,20,869
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.03,1,20,983
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.05,1,20,996
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.07,1,20,999
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.1,1,20,999
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.2,1,20,999
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.3,1,20,999
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.5,1,20,1000
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.7,1,20,1000
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,1.0,1,20,1000
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,2.0,1,20,1000
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,3.0,1,20,1000
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,5.0,1,20,1000
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,7.0,1,20,1000
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,10.0,1,20,1000
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.001,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.002,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.003,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.005,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.007,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.01,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.02,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.03,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.05,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.07,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.1,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.2,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.3,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.5,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,0.7,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,1.0,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,2.0,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,3.0,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,5.0,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,7.0,N/A,N/A, 0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,1000,0,10.0,N/A,N/A, 0
